epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,606.141,0.6594,0.84931,1,0.4201,0.0033318,0.0033318,0.0033318
2,1237.35,0.46409,0.85448,1,0.42716,0.00653316,0.00653316,0.00653316
3,1802.75,0.50702,0.8473,1,0.44958,0.00960252,0.00960252,0.00960252
4,2393.58,0.5233,0.85189,1,0.4071,0.009406,0.009406,0.009406
5,2949.84,0.45204,0.87141,1,0.37895,0.009208,0.009208,0.009208
6,3585.92,0.41656,0.8872,1,0.31982,0.00901,0.00901,0.00901
7,4249.43,0.39477,0.88949,1,0.32468,0.008812,0.008812,0.008812
8,4921.11,0.38436,0.89638,1,0.30527,0.008614,0.008614,0.008614
9,5570.87,0.37046,0.91361,1,0.27312,0.008416,0.008416,0.008416
10,6206.3,0.36464,0.90643,1,0.27966,0.008218,0.008218,0.008218
11,6764.77,0.34246,0.90299,1,0.28951,0.00802,0.00802,0.00802
12,7322.32,0.33467,0.90356,1,0.2805,0.007822,0.007822,0.007822
13,7879.22,0.33375,0.90557,1,0.27015,0.007624,0.007624,0.007624
14,8435.91,0.32314,0.9182,1,0.24325,0.007426,0.007426,0.007426
15,8992.36,0.32198,0.91762,1,0.2351,0.007228,0.007228,0.007228
16,9550.13,0.31403,0.92078,1,0.24222,0.00703,0.00703,0.00703
17,10107.3,0.29595,0.91533,1,0.25207,0.006832,0.006832,0.006832
18,10663.6,0.30155,0.92164,1,0.24811,0.006634,0.006634,0.006634
19,11221,0.28461,0.92135,1,0.24429,0.006436,0.006436,0.006436
20,11776.5,0.28587,0.92394,1,0.2479,0.006238,0.006238,0.006238
21,12333.4,0.27906,0.92853,1,0.22624,0.00604,0.00604,0.00604
22,12891,0.26766,0.92882,1,0.22211,0.005842,0.005842,0.005842
23,13449.9,0.25889,0.9271,1,0.22647,0.005644,0.005644,0.005644
24,14006.8,0.26172,0.92939,1,0.2196,0.005446,0.005446,0.005446
25,14564.3,0.25293,0.9314,1,0.21597,0.005248,0.005248,0.005248
26,15119.7,0.24464,0.93226,1,0.21204,0.00505,0.00505,0.00505
27,15676,0.23992,0.93083,1,0.21081,0.004852,0.004852,0.004852
28,16230.7,0.23294,0.93169,1,0.20822,0.004654,0.004654,0.004654
29,16788.1,0.22667,0.93398,1,0.20582,0.004456,0.004456,0.004456
30,17356,0.22257,0.93398,1,0.20462,0.004258,0.004258,0.004258
31,17996.1,0.21105,0.93427,1,0.2032,0.00406,0.00406,0.00406
32,18631.9,0.20514,0.9337,1,0.20274,0.003862,0.003862,0.003862
33,19253,0.20422,0.93255,1,0.20166,0.003664,0.003664,0.003664
34,19863.5,0.1963,0.93255,1,0.20116,0.003466,0.003466,0.003466
35,20507,0.18635,0.93341,1,0.2006,0.003268,0.003268,0.003268
36,21141,0.17604,0.93312,1,0.20102,0.00307,0.00307,0.00307
37,21786.8,0.17461,0.93312,1,0.20063,0.002872,0.002872,0.002872
38,22432.3,0.16902,0.93456,1,0.20019,0.002674,0.002674,0.002674
39,23074.6,0.15641,0.93427,1,0.19969,0.002476,0.002476,0.002476
40,23714.3,0.15568,0.93628,1,0.19964,0.002278,0.002278,0.002278
41,24396,0.142,0.93599,1,0.19948,0.00208,0.00208,0.00208
42,25237.6,0.13241,0.93657,1,0.19899,0.001882,0.001882,0.001882
43,25845.6,0.12609,0.93628,1,0.1993,0.001684,0.001684,0.001684
44,26424.1,0.12111,0.93542,1,0.19934,0.001486,0.001486,0.001486
45,26997.4,0.10747,0.93628,1,0.19919,0.001288,0.001288,0.001288
46,27570.4,0.10534,0.93628,1,0.19888,0.00109,0.00109,0.00109
47,28147.3,0.10408,0.93743,1,0.1987,0.000892,0.000892,0.000892
48,28720.7,0.09259,0.93829,1,0.1984,0.000694,0.000694,0.000694
49,29291.5,0.08997,0.93829,1,0.19844,0.000496,0.000496,0.000496
50,29862.1,0.08417,0.93858,1,0.19928,0.000298,0.000298,0.000298
