epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,364.124,0.7848,0.79564,1,0.57944,0.00333181,0.00333181,0.00333181
2,685.335,0.5073,0.82003,1,0.54881,0.00659916,0.00659916,0.00659916
3,1019.12,0.50381,0.82118,1,0.54863,0.00980051,0.00980051,0.00980051
4,1334.28,0.48115,0.84443,1,0.48041,0.009703,0.009703,0.009703
5,1625.02,0.40929,0.8717,1,0.40728,0.009604,0.009604,0.009604
6,1912.73,0.38038,0.8806,1,0.35622,0.009505,0.009505,0.009505
7,2202.38,0.35582,0.89753,1,0.31599,0.009406,0.009406,0.009406
8,2491.9,0.33069,0.89983,1,0.31587,0.009307,0.009307,0.009307
9,2781.59,0.32603,0.90672,1,0.31728,0.009208,0.009208,0.009208
10,3072.04,0.31352,0.90356,1,0.30982,0.009109,0.009109,0.009109
11,3363.81,0.30491,0.90442,1,0.32411,0.00901,0.00901,0.00901
12,3656.9,0.30166,0.91676,1,0.28263,0.008911,0.008911,0.008911
13,3949.23,0.29666,0.92107,1,0.24753,0.008812,0.008812,0.008812
14,4242.85,0.28407,0.91762,1,0.27079,0.008713,0.008713,0.008713
15,4535.83,0.28313,0.92537,1,0.25185,0.008614,0.008614,0.008614
16,4829.37,0.27166,0.92451,1,0.24603,0.008515,0.008515,0.008515
17,5123.43,0.28038,0.92509,1,0.24333,0.008416,0.008416,0.008416
18,5418.15,0.27893,0.92423,1,0.25108,0.008317,0.008317,0.008317
19,5714.03,0.26778,0.92107,1,0.24879,0.008218,0.008218,0.008218
20,6009.56,0.26547,0.92423,1,0.24286,0.008119,0.008119,0.008119
21,6304.37,0.26875,0.92308,1,0.24858,0.00802,0.00802,0.00802
22,6599.43,0.2608,0.93083,1,0.23411,0.007921,0.007921,0.007921
23,6896.47,0.25225,0.93054,1,0.23501,0.007822,0.007822,0.007822
24,7192.08,0.24956,0.93054,1,0.22905,0.007723,0.007723,0.007723
25,7490.09,0.25093,0.92882,1,0.23156,0.007624,0.007624,0.007624
26,7786.06,0.24602,0.93025,1,0.23063,0.007525,0.007525,0.007525
27,8083.53,0.24378,0.93083,1,0.2324,0.007426,0.007426,0.007426
28,8381.91,0.24455,0.93083,1,0.23094,0.007327,0.007327,0.007327
29,8681.24,0.24151,0.93054,1,0.23106,0.007228,0.007228,0.007228
30,8978.76,0.24349,0.93169,1,0.22802,0.007129,0.007129,0.007129
31,9279.57,0.22913,0.93255,1,0.22578,0.00703,0.00703,0.00703
32,9580.07,0.23128,0.93312,1,0.22527,0.006931,0.006931,0.006931
33,9879.89,0.22923,0.9337,1,0.22319,0.006832,0.006832,0.006832
34,10181.4,0.22013,0.93398,1,0.22128,0.006733,0.006733,0.006733
35,10482.7,0.22103,0.93427,1,0.21973,0.006634,0.006634,0.006634
36,10785.3,0.22237,0.93456,1,0.21995,0.006535,0.006535,0.006535
37,11087.8,0.21422,0.93485,1,0.21815,0.006436,0.006436,0.006436
38,11390.8,0.21465,0.93513,1,0.21803,0.006337,0.006337,0.006337
39,11694,0.21092,0.93599,1,0.21795,0.006238,0.006238,0.006238
40,11996.9,0.21735,0.93657,1,0.21765,0.006139,0.006139,0.006139
41,12301.5,0.20482,0.93714,1,0.21797,0.00604,0.00604,0.00604
42,12609.3,0.20969,0.93628,1,0.21752,0.005941,0.005941,0.005941
43,12974.9,0.20797,0.93628,1,0.21834,0.005842,0.005842,0.005842
